Players,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
M Hendrick,ENG,,,,1,,1,1,,2,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA Murray,WI,,,,1,,,,,2,,35,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nasim-ul-Ghani,PAK,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LR Gibbs,WI,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DR Hadlee,NZ,,,,0,12,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD Julien,WI,,,,0,,57,9,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS Sobers,WI,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP Patel,INDIA,,,,,94,25,61,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaheer Abbas,PAK,,,,,88,136,23,10,91,148,137,229,677,494,341,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL Wadekar,INDIA,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ Woodcock,AUS,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM Gavaskar,INDIA,,,,,48,113,,,4,89,44,113,194,383,150,414,805,735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV Mankad,INDIA,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS Naik,INDIA,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FM Engineer,INDIA,,,,,36,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR Viswanath,INDIA,,,,,36,39,56,,17,106,77,99,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BL Cairns,NZ,,,,,30,10,55,,83,17,113,70,35,335,92,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Abid Ali,INDIA,,,,,23,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JM Parker,NZ,,,,,14,96,16,,7,,50,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GK Bose,INDIA,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC Davis,AUS,,,,,11,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Madan Lal,INDIA,,,,,5,20,21,,,,,6,54,153,22,18,63,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED Solkar,INDIA,,,,,3,21,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DR O'Sullivan,NZ,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Venkataraghavan,INDIA,,,,,1,26,1,,0,23,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS Bedi,INDIA,,,,,0,6,4,,2,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ Bright,AUS,,,,,,,,17,,20,5,18,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G Dymock,AUS,,,,,,,,2,,15,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ Gilmour,AUS,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imran Khan,PAK,,,,,,9,4,39,12,42,2,76,284,283,156,255,186,437,181,793,496,225,229,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD Jackman,ENG,,,,,,,14,,,,6,16,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHN Walker,AUS,,,,,,56,,5,,9,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Turner,AUS,,,,,,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG Greenidge,WI,,,,,,129,98,8,,429,469,148,292,749,223,367,330,446,782,399,156,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB McCosker,AUS,,,,,,120,,12,,1,136,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVA Richards,WI,,,,,,112,216,20,9,526,328,156,383,730,695,1231,333,890,321,492,59,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JFM Morrison,NZ,,,,,,96,15,,,11,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP Howarth,NZ,,,,,,93,43,,54,70,127,211,53,428,156,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APB Tennekoon,SL,,,,,,78,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MH Tissera,SL,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD Gaekwad,INDIA,,,,,,59,16,,94,54,,,,22,12,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frasat Ali,EAf,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR Thomson,AUS,,,,,,55,,6,1,0,18,14,49,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RK Sethi,EAf,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRD Wettimuny,SL,,,,,,53,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javed Miandad,PAK,,,,,,52,47,100,57,46,47,194,501,293,475,721,632,1084,607,487,311,141,942,590,,,54,,,,,,,,,,,,,,,,,,,,,,,
DS de Silva,SL,,,,,,47,,,,7,,,31,172,61,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER Fernando,SL,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawahir Shah,EAf,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mehmood Quaraishy,EAf,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B Warnapura,SL,,,,,,41,,,,38,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRD Mendis,SL,,,,,,40,,,,78,,,169,194,63,436,158,227,135,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zulfiqar Ali,EAf,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Walusimbi,EAf,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ McKechnie,NZ,,,,,,28,8,,,17,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AME Roberts,WI,,,,,,27,7,,3,48,38,21,21,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG Hadlee,NZ,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ Cosier,AUS,,,,,,25,,3,84,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN Ranasinghe,SL,,,,,,23,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LWS Kaluperuma,SL,,,,,,19,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSM Pieris,SL,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BW Luckhurst,ENG,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJ Jenner,AUS,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS Mehta,EAf,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM Opatha,SL,,,,,,11,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FJ Titmus,ENG,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG Nana,EAf,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pervez Mir,PAK,,,,,,8,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harilal Shah,EAf,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H McLeod,EAf,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJ Pringle,EAf,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG Rowe,WI,,,,,,5,59,,,65,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Sumar,EAf,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD Heyn,SL,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WJ Edwards,AUS,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M Amarnath,INDIA,,,,,,1,29,,85,16,,,71,468,6,64,309,33,584,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG Hurst,AUS,,,,,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunus Badat,EAf,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRA de Silva,SL,,,,,,0,,,,2,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naseer Malik,PAK,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KD Ghavri,INDIA,,,,,,,,,6,35,44,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J Nagenda,EAf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW Randall,ENG,,,,,,,127,111,73,200,16,,30,342,149,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD Barlow,ENG,,,,,,,80,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GN Edwards,NZ,,,,,,,73,,12,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB Vengsarkar,INDIA,,,,,,,59,,37,44,54,342,227,188,361,432,477,618,271,307,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA Gooch,ENG,,,,,,,40,,94,316,297,158,141,,,289,330,840,110,381,401,244,430,135,82,2,,,,,,,,,,,,,,,,,,,,,,,,
CL King,WI,,,,,,,22,0,,170,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT Botham,ENG,,,,,,,21,32,80,145,156,159,188,275,91,101,51,394,,37,,8,375,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH Sharma,INDIA,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA Holding,WI,,,,,,,19,,,2,13,11,21,38,94,19,5,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADG Roberts,NZ,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS Chandrasekhar,INDIA,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMH Kirmani,INDIA,,,,,,,8,,5,,130,44,62,92,,5,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS Steele,ENG,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P Krishnamurthy,INDIA,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RW Anderson,NZ,,,,,,,4,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
