Players,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
PA Hitchcock,NZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,19,,,,,11,,,,,,,,,,,
AJ Tudor,ENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,
Adeel Raja,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,10,,,9,0,,,,,,,,
JM Anderson,ENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,13,11,33,21,20,21,12,40,5,33,22,14,,,,
JJ Esmeijer,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,,,,,,,,,,,,,,,,
JF Kloppenburg,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,158,,,,,,,,,,,,,,,,
RW Price,ZIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,32,51,,,3,27,154,38,54,40,,,,,,,
RW Sims,ZIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,24,,,,,,,,,,,,,,,,
Tareq Aziz,BDESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,15,,,,,,,,,,,,,,,
T Yohannan,INDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
IG Butler,NZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,0,,,,,65,13,,,,,,,,,
DLS van Bunge,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,135,,,172,82,41,130,,,,69,,,,,,
GJ Batty,ENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,2,,,24,,,,,,,,,,
MKGCP Lakshitha,SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,
Mazharul Haque,BDESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
M Zondeki,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,0,,,,,,,,,,,,,,
SJ Harmison,ENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,24,22,12,,6,18,,,,,,,,,,
S Matsikenyeri,ZIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,101,394,162,388,289,141,701,19,,9,,,19,,,,
Talha Jubair,BDESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,
Anwar Hossain Monir,BDESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
VD Grandia,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
RG Hart,NZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
HJC Mol,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,38,,,,2,27,,,,,,,,,,,
Rafiqul Islam,BDESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
Jai P Yadav,INDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,81,,,,,,,,,,,,,,
L Balaji,INDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,18,,,,7,,,,,,,,,,
JC Kent,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W Mwayenga,ZIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
DBL Powell,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,60,39,5,,,,,,,,,,
Yasir Hameed,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898,773,134,112,111,,,,,,,,,,,,
JA Rudolph,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,411,124,139,,,,,,,,,,,,,
Mohammad Hafeez,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,,124,255,76,,,370,1075,476,1301,360,782,166,555,194,224
MJ Clarke,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327,615,954,729,981,471,868,777,900,656,303,181,219,,,,
Rajin Saleh,BDESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,316,125,295,,,,,,,,,,,,,
HJH Marshall,NZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,590,309,224,88,,,,,,,,,,,,
JM Davison,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,,,97,370,,73,,33,,,,,,,,
AJ Burger,NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,,,,,,,,,,,,,,,,
RA Jones,NZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,,,,,,,,,,,,,,,,
IS Billcliff,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,,,60,245,26,51,,,,,,,,,,
A McGrath,ENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,23,,,,,,,,,,,,,,,
D Keulder,NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,,,,,,,,,,,,,
G Gambhir,INDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,181,115,634,1119,848,670,720,685,153,,,,,,
I Maraj,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,
JV Harris,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,
GB Murgatroyd,NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,
V Sibanda,ZIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,186,30,500,545,159,173,119,478,,432,106,86,96,,,
DB Kotze,NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,
DR Chumney,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,196,133,,,,,,,,,,,,
R Clarke,ENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,33,,45,,,,,,,,,,,,,
PA Patel,INDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,66,,,,,,109,491,4,,,,,,,
CS Baugh,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,3,,118,,37,,,195,64,,,,,,,
CD Cumming,NZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,80,23,,,,0,,,,,,,,,,
J Smits,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,16,42,20,33,,,,,,,,,,
M van Schoor,NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,
A Bagai,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,221,496,181,243,539,225,,3,,,,,,
KS Lokuarachchi,SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,40,,108,11,,,,,,,,,,,,
Manjural Islam Rana,BDESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,201,61,23,,,,,,,,,,,,,
M Karg,NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,
OAC Banks,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,39,,,,,,,,,,,,,,
NA de Groot,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,
SJ Swanepoel,NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,
TK Canning,NZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,16,,,,,,,,,,,,,,
DS Smith,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,93,,,273,110,169,,333,,45,,,,,,
JO Troughton,ENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,
A Codrington,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,14,5,,,,,,,,,,,,
BL Kotze,NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,
BO van Rooi,NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,
RJ van Vuuren,NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,
A Patel,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,
S Thuraisingam,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,13,,7,,,,,,,,,,,
AF Sattaur,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,
Jamaluddin Ahmed,BDESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,
MN van Wyk,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,178,,,,136,,,,94,,,,
N Ifill,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,0,,,,,,,,,,,,,
RL Johnson,ENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,
D Joseph,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,
MJ Mason,NZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,4,5,0,,2,,,,,,,,,
Nafees Iqbal,BDESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,110,186,,,,,,,,,,,,,,
Naved-ul-Hasan,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,40,157,112,37,,89,76,,,,,,,,,
AM Samad,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,167,315,214,32,,,,,,,,,,
LJ Burger,NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,
SF Burger,NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,
RWT Key,ENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,43,,,,,,,,,,,,,,,
AV Kale,INDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,
MDJ Walker,NZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,
Faisal Athar,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,
Mohammad Salim,BDESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,
DE Bernard,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,116,18,,,,,,,,,
NA Statham,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,0,,,,,,,,,,
G Snyman,NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
HAPW Jayawardene,SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,23,,,,,,,,,,,,
AM Salvi,INDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
BB Seebaran,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
CK Coventry,ZIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,134,62,,,430,174,18,,,,10,,,,
D Gamage,SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
AJ Strauss,ENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,655,713,592,276,,647,806,513,,,,,,,,
Junaid Zia,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Umar Gul,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,32,23,29,108,50,47,93,38,29,0,6,,,
Moniruzzaman,BDESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
R Rampaul,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,34,,,50,3,23,54,130,44,3,17,3,,,,
RO Hurley,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,,,,,,,,,,,,,,,
AS Luseno,KENYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,17,0,,1,16,,,,,,,,,
A Maregwede,ZIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,95,29,,,,,,,,,,,,,,
R Walters,NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Kabir Ali,ENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,2,,,,,,,,,,,,,
FH Edwards,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,14,2,30,23,,,,,,,,,,
KADM Fernando,SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMDN Kulasekara,SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,14,15,156,203,82,170,235,184,63,131,31,38,,
JL Louw,NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Mishra,INDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,,9,10,4,15,,,
JE Taylor,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,44,84,45,6,,,,11,40,21,2,,
KP Walmsley,NZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRM Taylor,ZIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,282,807,299,139,590,723,743,127,302,411,433,,,898,
WS Jayantha,SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,
E Chigumbura,ZIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308,106,489,390,170,630,368,282,94,161,392,772,67,,111,
GO Jones,PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,301,250,,,,,,,,47,,,,,
DR Smith,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,212,217,100,,,134,,177,,236,222,,,,
Salman Butt,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,565,145,362,861,358,182,,,,,,,,,
IK Pathan,INDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,383,393,131,223,8,,4,172,,,,,,,
MHW Papps,NZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,3,,,,,,,,,,,,,,
IR Bell,ENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,63,654,1080,523,,139,612,549,645,479,509,,,,
RS Gavaskar,INDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,,,,,,,,,,,,,,
Aftab Ahmed,BDESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,299,784,519,129,,80,,,,,,,,,
KP Pietersen,ENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,784,612,889,658,132,153,571,281,256,,,,,,
P Utseya,ZIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,47,162,65,66,266,276,176,32,127,66,21,,,,
MF Maharoof,SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,121,249,280,24,198,11,,58,,,,71,,,
DJ Bravo,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,213,427,348,203,220,204,195,255,388,415,,,,,
MA Ouma,KENYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,143,386,127,385,156,22,,205,5,,,,,
Mohammad Tauqir,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,26,,,,,,,8,,,,
IDR Bradshaw,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,95,92,42,,,,,,,,,,,,
Tabarak Dar,HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,45,,,,,,,,,,,
T Panyangara,ZIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,39,,,,,,4,,4,31,98,12,,,
JA Morkel,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,23,,173,91,292,60,,103,,,,,,,
Abdur Razzak,BDESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,0,86,117,225,20,76,87,13,95,21,,,,,
Ramveer Rai,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,
Faisal Hossain,BDESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,8,,,,,,,,,
MJ Prior,ENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,94,111,229,168,357,72,216,,,,,,,,
RP Alexander,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,
Joginder Sharma,INDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,1,,,,,,,,,,,,
TT Smart,HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,
RR Powar,INDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,75,56,,,,,,,,,,,,
M Cheruparambil,HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,
JP Duminy,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,115,198,476,475,433,563,312,659,311,366,444,287,348,39
T Mupariwa,ZIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,1,121,0,4,12,,,,,,19,1,,,
AN French,HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,
SHT Kandamby,SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,40,686,65,56,,,0,,,,,
SJ Massiah,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,
Afzaal Haider,HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,0,,,,,,,,,,,
Ali Asad,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,
MR Johnson,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,
MS Dhoni,INDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,895,821,1103,1097,1198,600,764,524,753,418,640,278,788,275,327
Syed Maqsood,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,
MEK Hussey,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,587,784,447,622,1166,825,414,580,,,,,,,
Ilyas Gull,HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,
JH Desai,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,
SB Lama,HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,
AG Wharf,ENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3,,,,,,,,,,,,,,
Asghar Ali,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,
Khurram Khan,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,80,,,,,,334,155,,,,
EC Rainsford,ZIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,24,1,0,2,15,,,,,,,,,
Asim Saeed,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,
Bazid Khan,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,66,,,53,,,,,,,,,,,
Naeemuddin Aslam,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,
Nazmul Hossain,BDESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,18,,,0,5,0,0,,,,,,,,
NB Mahwire,ZIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,17,89,,,,,,,,,,,,,
R Sharma,INDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,1,,,,,,,
Fahad Usman,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,
PG Fulton,NZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,70,340,811,9,95,,,,,,,,,,
HR Johnson,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,
Rashid Zia,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,
JPR Lamsam,HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,16,,,,,,,,,,,
CA Reid,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,
Arshad Ali,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,47,,,,,,,,,,,
SL Malinga,SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,37,29,19,32,86,92,69,53,18,33,,21,10,44
Aijaz Ali,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
Khalid Khan,HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
TL Best,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,40,,,,8,,,15,9,,,,,,
Najeeb Amar,HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,34,,,,,,,,,,,
RW Staple,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
CB Mpofu,ZIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,1,9,2,2,8,7,,2,,,2,4,,
Nasir Javed,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Sameer Zia,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Abdul Rehman,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
RG Aga,KENYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,12,36,101,,,,,
KD Karthik,INDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,42,287,,223,455,,,255,50,,,183,167,75
SI Mahmood,ENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,82,2,,,,,,,,,,,,
Nadeem Ahmed,HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,14,,24,3,23,
LC Romero,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
DL Blake,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
GM Ewing,ZIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,97,,,,,,,,,,,,,,
HMRKB Herath,SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,2,15,39,67,3,14,,,,
GJ Hopkins,NZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,9,32,15,180,,,,,,,,,
Nasir Hameed,HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
ML Patel,KENYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,40,,,,,,,,,,,,,
Rizwan Latif,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Iftikhar Anjum,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,44,84,38,6,21,,,,,,,,,
SP Jones,ENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
DJG Sammy,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,136,197,157,212,343,398,126,284,,,,
WU Tharanga,SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,1062,638,138,523,707,826,752,287,111,68,214,1011,304,15
Shahriar Nafees,BDESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,1033,278,292,,119,225,,,,,,,,
AB de Villiers,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,466,1209,434,762,964,467,645,1163,879,1193,339,773,62,
Y Venugopal Rao,INDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,82,,,,,,,,,,,,,
D Ramdin,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,173,173,83,184,159,168,38,50,516,253,276,,,
XM Marshall,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,275,2,,,,,,,,,,11
LE Plunkett,ENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,106,95,,,,20,,,,99,31,71,66,11
N Deonarine,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,8,,,411,,,87,32,53,,,,
SK Raina,INDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,500,23,680,605,631,722,492,770,539,517,,,47,
LHD Dilhara,SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,6,,,,,,
BJ Hodge,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,7,496,,,,,,,,,,,,
JM How,NZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,83,376,386,27,41,75,,,,,,,,
